,name,dataset,CrossEntropy(T=1),CrossEntropy(T=0)
0,picture,CMNIST,0.35446321964263916,1.3813313245773315
1,digit,CMNIST,0.5623352527618408,0.5623352527618408
2,color,CMNIST,0.42270898818969727,1.723659873008728
3,prior,CMNIST,0.6931471228599548,0.6931470632553101
4,picture,d-CMNIST,0.3171190917491913,1.526894450187683
5,digit,d-CMNIST,0.562335193157196,0.562335193157196
6,color,d-CMNIST,0.3766254186630249,1.8863648176193237
7,prior,d-CMNIST,0.6931471824645996,0.6931471228599548
8,picture,y-CMNIST,0.3175119459629059,1.5262351036071777
9,digit,y-CMNIST,0.5623351335525513,0.5623351335525513
10,color,y-CMNIST,0.3761895000934601,1.8909422159194946
11,prior,y-CMNIST,0.6931471824645996,0.6931472420692444
